id,category_group,name,price,brand,color,rating,sold_qty,url,image
370982,Điện thoại,Điện thoại iPhone 18 Pro Max 256GB,41990000,iPhone (Apple),Đỏ Burgundy,,,https://www.thegioididong.com/dtdd/iphone-18-pro-max,https://cdn.tgdd.vn/Products/Images/42/370982/iphone-18-pro-max-do-thumb-600x600.jpg
370977,Điện thoại,Điện thoại iPhone 18 Pro 256GB,38990000,iPhone (Apple),Đỏ Burgundy,,,https://www.thegioididong.com/dtdd/iphone-18-pro,https://cdn.tgdd.vn/Products/Images/42/370977/iphone-18-pro-do-thumb-600x600.jpg
370987,Điện thoại,Điện thoại iPhone Duo 256GB,64990000,iPhone (Apple),Trắng Ánh Sao,,,https://www.thegioididong.com/dtdd/iphone-duo,https://cdn.tgdd.vn/Products/Images/42/370987/iphone-duo-white-thumb-600x600.jpg
369617,Điện thoại,Điện thoại Xiaomi Redmi Note 17 4G 4GB/128GB,5790000,Xiaomi,Tím,,,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-17-4g-4gb-128gb,https://cdn.tgdd.vn/Products/Images/42/369617/xiaomi-redmi-note-17-4g-purple-thumb-600x600.jpg
342679,Điện thoại,Điện thoại iPhone 17 Pro Max 256GB,34590000,iPhone (Apple),Cam Vũ Trụ,4.9,"Đã bán 371,4k",https://www.thegioididong.com/dtdd/iphone-17-pro-max,https://cdn.tgdd.vn/Products/Images/42/342679/iphone-17-pro-max-cam-thumb-600x600.jpg
367499,Điện thoại,Điện thoại realme 16T 5G 8GB/128GB,7790000,realme,Xanh,5,"Đã bán 6,6k",https://www.thegioididong.com/dtdd/realme-16t-5g-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/367499/realme-16t-xanh-thumb-600x600.jpg
369626,Điện thoại,Điện thoại Xiaomi Redmi Note 17 Pro 5G 12GB/256GB,10790000,Xiaomi,Tím,,,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-17-pro-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/369626/xiaomi-redmi-note-17-pro-5g-purple-thumb-600x600.jpg
369628,Điện thoại,Điện thoại Xiaomi Redmi Note 17 Pro Max 5G 12GB/256GB,13990000,Xiaomi,Tím,,,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-17-pro-max-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/369628/xiaomi-redmi-note-17-pro-max-5g-purple-thumb-600x600.jpg
367011,Điện thoại,Điện thoại Honor 600 Lite 8GB/256GB,8940000,HONOR,Xanh lá,5,"Đã bán 3,9k",https://www.thegioididong.com/dtdd/honor-600-lite-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/367011/honor-600-lite-xanh-la-thumb-600x600.jpg
368236,Điện thoại,Điện thoại Motorola Razr Fold 5G 12GB/256GB,39490000,Motorola,Trắng,,,https://www.thegioididong.com/dtdd/motorola-razr-fold-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/368236/motorola-razr-fold-trang-thumb-600x600.jpg
